apellido_paterno,apellido_materno,nombre,fecha_nacimiento,sexo,producto,saldo,telefono,estado,municipio,colonia,calle,numero
ESPARZA,ESTEBAN,ESTRELLA,2003-09-20,MUJER,credito nomina,4763,5213614086,Guanajuato,Chinicuila,Aguascalientes 2000,Hacienda el Cobano,30
AVALOS,MOCTEZUMA,JOSE,1978-11-28,HOMBRE,credito refaccionario,77154,7213005365,Colima,Chucándiro,Las Trojes,Trojes del Cobano,79
QUINTERO,CHAPARRO,EMMA SOFIA,1980-12-29,MUJER,credito hipotecario,282806,1987159374,Colima,Churintzio,Misión del Campanario,Villas del Cobano,43
GARZA,ISLAS,BRUNO,1966-05-24,HOMBRE,credito avio,289465,4983007081,Colima,Churumuco,Trojes de Cristal,Alianza Ferrocarrilera,8
DEL ANGEL,MONTES DE OCA,KARLA,1970-06-12,MUJER,credito avio,59294,0536572386,Baja California Sur,Ecuandureo,Trojes del Sol,Bosques del Prado Oriente,40
CHAN,LAGUNES,ARTURO,1969-12-22,HOMBRE,prestamo personal,5655,3268080202,Oaxaca,Epitacio Huerta,Residencial Santa Clara,Francisco Guel Jimenez,98
ARROYO,VALERIO,NAOMI,1974-04-17,MUJER,credito nomina,3711,2682841712,Jalisco,Erongarícuaro,Misión de Santiago,Las Viñas INFONAVIT,6
DE LEON,VALENTIN,JUAN MANUEL,1970-04-26,HOMBRE,credito hipotecario,675360,8225101483,Durango,Gabriel Zamora,Andora Residencial,Santa Anita 4a Sección,17
ROMAN,BAZAN,LILIANA,1962-05-29,MUJER,credito nomina,2505,4560523794,San Luis Potosí,Hidalgo,Cadaqués Residencial,Santa Anita,17
BARAJAS,RUBIO,OMAR,2001-02-26,HOMBRE,credito avio,150095,4136544779,Coahuila,La Huacana,Valle del Campanario,Santa Anita 2a Sección,82
FELIX,LINO,ALISON,1992-05-24,MUJER,credito refaccionario,60529,5208845429,Campeche,Huandacareo,Las Misiones,El Maguey,96
PERALTA,NOH,IAN MATEO,1993-12-11,HOMBRE,credito avio,201125,9713383127,Guerrero,Huaniqueo,Los Jarales,Las Cumbres,6
QUIROZ,MATA,CATALINA,1990-05-24,MUJER,credito refaccionario,94731,5045916010,Tlaxcala,Huetamo,Cerrada El Molino,Lic Benito Juárez,SN
SALGADO,LIMA,KEVIN,1981-03-31,HOMBRE,credito refaccionario,62772,4045973963,Guanajuato,Huiramba,Valle Real,Nazario Ortiz Garza,44
ZARATE,LOZANO,AURORA,1965-05-02,MUJER,credito,17969,6352779904,Hidalgo,Indaparapeo,Terzetto,Rodolfo Landeros Gallegos,54
VERA,BURGOS,GUSTAVO,1969-11-15,HOMBRE,credito avio,251297,0305193518,Jalisco,Irimbo,Cerrada de La Misión,S.T.E.M.A.,SN
MURILLO,HERMOSILLO,ITZEL,1983-08-12,MUJER,credito hipotecario,106818,6576934487,Guerrero,Ixtlán,Cerrada del Valle,Zona Militar,98
GUEVARA,VALLES,OSCAR,1986-11-11,HOMBRE,credito refaccionario,71136,1348696097,México,Jacona,Cerrada de la Mezquitera,Villa Bonita,60
SEGURA,ZARAGOZA,LUZ MARIA,1959-08-15,MUJER,credito hipotecario,489576,6599855471,Campeche,Jiménez,Lomas del Campestre 2a Sección,Lic Benito Palomino Dena,72
SAUCEDO,CAMACHO,ANGEL DANIEL,1987-09-15,HOMBRE,credito avio,213826,8563778653,Zacatecas,Jiquilpan,Villas del Campestre,Anexo Benito Palomino Dena Cumbres II),SN
MONTIEL,SALAS,LIZBETH,1988-06-06,MUJER,debito,2268,7387081114,Sinaloa,Juárez,Los Calicantos,La Florida l,SN
REYNA,BECERRA,HECTOR,1982-12-27,HOMBRE,credito departamental,5923,9677649172,San Luis Potosí,Jungapeo,Jardines de la Concepción,La Florida ll,SN
VENTURA,PANZO,JAZMIN,1975-03-17,MUJER,debito,6883,3991212873,San Luis Potosí,Lagunillas,Los Bosques,Claustros Loma Dorada,85
OLIVARES,ARROYO,ANGEL GAEL,1989-12-04,HOMBRE,credito departamental,2454,8231520596,Veracruz,Madero,Rinconada los Bosques,Cumbres III,53
SOLANO,PEÑALOZA,ISABEL,1971-04-12,MUJER,credito nomina,4029,4810337170,Ciudad de Mexico,Maravatío,La Perla Norte,Lomas de Bellavista,81
SANTANA,LANDERO,JESUS ANTONIO,1961-12-15,HOMBRE,credito avio,97125,5963290947,Tabasco,Marcos Castellanos,Arroyo El Molino,Lomas de las Fuentes,SN
LUGO,ALEMAN,MIA VALENTINA,1972-06-29,MUJER,credito,18809,4757665432,Veracruz,Lázaro Cárdenas,Galerías,Colinas de Oriente,SN
GALLARDO,ONTIVEROS,ELIAN,1972-06-16,HOMBRE,prestamo personal,3704,7844777849,Quintana Roo,Morelia,Residencial Altaria,Vista de las Cumbres,65
VILLALOBOS,MELO,LUCERO,1968-01-27,MUJER,debito,2820,2454780880,Tlaxcala,Morelos,Constitución,Villa Montaña,37
CASTELLANOS,VEGA,MARTIN,1971-03-04,HOMBRE,credito departamental,6540,5269088536,Jalisco,Múgica,Libertad,Villas de Don Antonio,89
ANGELES,MENDEZ,YARETZI,1999-02-09,MUJER,credito nomina,1286,6557416824,Zacatecas,Nahuatzen,Pozo Bravo Norte,Los Ángeles,39
ZAPATA,RIVERA,ALFREDO,1969-04-18,HOMBRE,credito refaccionario,56932,0006549609,Chihuahua,Nocupétaro,Soberana Convención Revolucionaria,Capittala,79
VILLARREAL,MAR,JENNIFER,1983-01-27,MUJER,credito nomina,4000,5110782042,Querétaro,Nuevo Parangaricutiro,San Cayetano,Recinto de la Macarena,64
GUILLEN,VALTIERRA,DANTE,1977-03-03,HOMBRE,credito nomina,1188,0255788505,Quintana Roo,Nuevo Urecho,Colinas del Rio,La Soledad,75
DE LOS SANTOS,DE JESUS,MONTSERRAT,2002-11-10,MUJER,prestamo personal,5388,7703255054,Nayarit,Numarán,Olivares Santana,Los Naranjos,28
NAVARRETE,BECERRA,ESTEBAN,2003-03-06,HOMBRE,credito nomina,4525,2817759042,Durango,Ocampo,Las Brisas,Villa de Nuestra Señora de La Asunción Sector Guadalupe,76
ARRIAGA,NEGRETE,ALEXA GUADALUPE,2000-03-30,MUJER,debito,6243,1713947202,Tamaulipas,Pajacuarán,Ramon Romo Franco,Villa Teresa,93
PAREDES,ANDRES,FRANCISCO JAVIER,1982-05-26,HOMBRE,credito nomina,1200,1527881219,San Luis Potosí,Panindícuaro,Colinas de San Ignacio,Cartagena 1947,37
DAVILA,ALMANZA,PAULA,1973-11-17,MUJER,credito refaccionario,92946,9951442886,Nayarit,Parácuaro,La Fundición,Villas de La Convención,76
MERCADO,JUSTO,SALVADOR,1988-12-29,HOMBRE,credito refaccionario,65963,7529877483,Yucatán,Paracho,Fundición II,Lomas de La Asunción,91
ESCOBEDO,OLAN,KATHERINE,1988-08-13,MUJER,credito avio,99552,8704090992,Baja California Sur,Pátzcuaro,Los Sauces,Villa de Nuestra Señora de La Asunción Sector Encino,SN
GUERRA,TOLEDO,SERGIO,1967-07-16,HOMBRE,prestamo personal,9770,6608481894,Ciudad de Mexico,Penjamillo,Línea de Fuego,Villa de Nuestra Señora de La Asunción Sector Alameda,90
SALDAÑA,CORONEL,ARLETH,1984-09-08,MUJER,credito,23595,7957499757,Coahuila,Peribán,Buenos Aires,San José de Pozo Bravo,78
MONDRAGON,SEVILLA,BRANDON,1964-05-01,HOMBRE,credito refaccionario,82668,3228350762,Aguascalientes,La Piedad,Circunvalación Norte,Villa de Nuestra Señora de La Asunción Sector San Marcos,SN
LEAL,PARRA,MELANIE,1978-06-20,MUJER,debito,9120,1312663237,Veracruz,Purépero,Las Arboledas,Villa de Nuestra Señora de La Asunción Sector Estación,93
ZEPEDA,ORDOÑEZ,RAUL,1990-08-31,HOMBRE,credito,16930,0023163838,Chihuahua,Puruándiro,Villas de San Francisco,Las Plazas,6
NIETO,RAMOS,MIA GUADALUPE,2003-11-18,MUJER,credito nomina,1327,5285528327,Durango,Queréndaro,Villas de La Universidad,El Rosedal,22
BARRIOS,BELTRAN,ANGEL TADEO,1958-04-16,HOMBRE,credito,18617,2988188479,Guerrero,Quiroga,El Sol,Natura,SN
PIÑA,COVARRUBIAS,SOFIA VALENTINA,1981-10-06,MUJER,credito,24347,1336932205,Nuevo León,Cojumatlán de Régules,Gremial,Montebello Della Stanza,SN
GRANADOS,MIRELES,ANGEL DAVID,1969-09-20,HOMBRE,credito avio,207429,7005127692,Chiapas,Los Reyes,Industrial,Villa Notre Dame,SN
MAY,PATIÑO,MAYTE,1962-10-01,MUJER,credito departamental,4902,2109282460,Hidalgo,Sahuayo,Altavista,Privada Guadalupe,36
BARRON,DZUL,EZEQUIEL,1975-07-10,HOMBRE,prestamo personal,2205,3701144653,Baja California Sur,San Lucas,Curtidores,Rinconada Pozo Bravo,57
YAÑEZ,ESPINOSA,YOSELIN,1974-03-19,MUJER,credito nomina,4644,0414643190,Campeche,Santa Ana Maya,La Concordia,Pozo Bravo Sur,24
BALDERAS,GASCA,THIAGO,1960-11-25,HOMBRE,credito departamental,3625,2020798054,Campeche,Salvador Escalante,Miravalle,Villa Loma Dorada,SN
GODINEZ,NUÑO,ANA MARIA,1995-02-20,MUJER,credito refaccionario,59299,2830270198,Michoacán,Senguio,Panorama,Jardines de Montebello,SN
ACEVEDO,SILVANO,JESUS TADEO,2002-12-08,HOMBRE,credito,20683,6724513731,Ciudad de Mexico,Susupuato,Residencial Guadalupe,Villas del Río,90
MAGAÑA,ARGUELLO,KAILANI,1957-09-13,MUJER,credito nomina,3210,8111396613,Quintana Roo,Tacámbaro,Colinas del Poniente,El Puertecito,44
RICO,OLIVARES,ENRIQUE,1973-01-27,HOMBRE,credito avio,75020,3201415573,Nuevo León,Tancítaro,Bugambilias,Rinconada del Puertecito,70
OJEDA,LIRA,HANNA,1968-01-05,MUJER,credito departamental,4498,2880833083,Campeche,Tangamandapio,Del Carmen,Bosques del Prado Norte,18
BONILLA,HAU,LUIS ANTONIO,1992-10-24,HOMBRE,credito nomina,2302,5018700562,Tamaulipas,Tangancícuaro,La Fe,Sartenejo,65
ISLAS,JARQUIN,ANTONELLA,1974-09-01,MUJER,prestamo personal,5910,7751666079,Aguascalientes,Tanhuato,México,Lomas del Campestre 1a Sección,99
PALMA,BOBADILLA,JOSE EDUARDO,1957-03-28,HOMBRE,credito avio,150848,7964903738,Aguascalientes,Taretan,Primavera,Bosques del Prado Sur,54
GIL,AMBRIZ,YARELI,1999-02-05,MUJER,credito refaccionario,92932,7189567384,Nayarit,Tarímbaro,San Pablo,El Roble,100
LORENZO,MARMOLEJO,MOISES,1982-07-19,HOMBRE,credito hipotecario,842705,4486466158,Yucatán,Tepalcatepec,Guadalupe,Fátima,64
MEDRANO,PALOMINO,VICTORIA GUADALUPE,1974-08-16,MUJER,prestamo personal,4229,5516617959,Nayarit,Tingambato,Heliodoro Garcia,Independencia de México,12
SALVADOR,BECERRA,JESUS ALEJANDRO,1966-04-01,HOMBRE,credito avio,68263,9326334050,Tabasco,Tingüindín,Gómez,Nueva Rinconada,25
PECH,ZEPEDA,KENIA,1957-08-04,MUJER,credito,17827,6504336627,Jalisco,Tiquicheo de Nicolás Romero,Moderno,Primo Verdad,35
GAMEZ,LANDERO,JULIO CESAR,1974-04-22,HOMBRE,credito avio,143659,1883615456,Quintana Roo,Tlalpujahua,Valle del Rio San Pedro,San José del Arenal,53
CORONADO,ARANDA,MARIA ISABEL,1973-05-16,MUJER,credito departamental,3876,6215333950,Ciudad de Mexico,Tlazazalca,Guadalupe Posada,Unidad Ganadera,SN
CARRERA,CRISOSTOMO,ALBERTO,1989-05-24,HOMBRE,credito,21610,7352804896,Morelos,Tocumbo,San Marcos,San Xavier,66
MONROY,BUSTILLOS,SARAHI,1988-01-03,MUJER,prestamo personal,2019,6016739438,Nayarit,Tumbiscatío,San Marcos,Residencial del Real,47
DUARTE,SAAVEDRA,EMANUEL,1978-01-07,HOMBRE,credito refaccionario,91210,8966351226,Quintana Roo,Turicato,San Marcos,Puerta Navarra,SN
ALFARO,MANUEL,EMILY SOFIA,1992-10-25,MUJER,credito hipotecario,637683,7722141806,San Luis Potosí,Tuxpan,Modelo,Residencial Campestre Club de Golf,44
CABALLERO,BERNABE,CESAR,1964-08-18,HOMBRE,credito refaccionario,71197,7340971205,Guerrero,Tuzantla,Residencial del Valle I,Palma Real,76
GALICIA,BLAS,XIMENA GUADALUPE,1985-12-23,MUJER,credito hipotecario,832679,8197930169,Querétaro,Tzintzuntzan,Residencial del Valle II,Muralia,76
TRINIDAD,FAJARDO,VICTOR MANUEL,1999-05-19,HOMBRE,credito nomina,2852,7435940405,Sonora,Tzitzio,La Herradura,Agropecuario,SN
NAJERA,SANCHEZ,GRECIA,1969-03-31,MUJER,credito hipotecario,355266,2018484699,Tamaulipas,Uruapan,Club Campestre,Centro Distribuidor de Básicos,SN
BLANCO,ENCISO,MARIO,2001-03-04,HOMBRE,prestamo personal,7240,1813618226,Sinaloa,Venustiano Carranza,Jardines del Campestre,La Rinconada,SN
ARREDONDO,GRANADOS,FRIDA,1974-05-24,MUJER,credito avio,267181,4159468633,Chihuahua,Villamar,Los Vergeles,El Plateado,87
URIBE,PORTILLO,JESUS DANIEL,1984-05-07,HOMBRE,credito hipotecario,896446,4043009852,Quintana Roo,Vista Hermosa,Ciudad Universitaria,Residencial Pulgas Pandas Norte,72
CARRANZA,FIGUEROA,YAMILET,1973-04-07,MUJER,credito departamental,7204,3202625347,Coahuila,Yurécuaro,Rancho San Antonio,Residencial Pulgas Pandas Sur,54
GARDUÑO,BRIONES,BENJAMIN,1964-04-23,HOMBRE,credito hipotecario,511289,6245004445,Tamaulipas,Zacapu,Villas de Montenegro,Villas del Vergel,SN
AMADOR,MONTIEL,CAMILA GUADALUPE,1977-12-07,MUJER,debito,1294,3559784990,Puebla,Zamora,Las Cavas,Cerrada San Miguel,SN
ROBLERO,ZACARIAS,JOSE CARLOS,1977-02-13,HOMBRE,credito refaccionario,99072,4354810062,Guerrero,Zináparo,La Enramada,Las Hadas,17
ARCOS,SANTOYO,MARIA DEL CARMEN,1981-02-09,MUJER,credito,24317,9915617581,Campeche,Zinapécuaro,Talamantes Ponce,Morelos,12
GAYTAN,SIMON,IAN ALEXANDER,1984-07-26,HOMBRE,credito hipotecario,204603,6613487801,Aguascalientes,Ziracuaretiro,Granjas del Campestre,Andrea,74
AGUILERA,ALCOCER,DANNA PAOLA,1983-08-08,MUJER,credito refaccionario,83491,9211921663,Chiapas,Zitácuaro,Puerto las Hadas,Los Arcos,22
BALTAZAR,CANUL,JOSE DANIEL,1978-07-08,HOMBRE,credito nomina,1224,4384861830,Tabasco,José Sixto Verduzco,Valle del Campestre,Industrial,8
MELENDEZ,CASTAÑON,ALICIA,1988-09-23,MUJER,credito hipotecario,255761,8286169043,Quintana Roo,Amacuzac,Trojes de Oriente,La Estrella,28
SIERRA,JASSO,ANGEL SANTIAGO,1976-04-23,HOMBRE,credito nomina,2153,5763051352,Nayarit,Atlatlahucan,Valle de las Trojes,Macias Arellano,97
ARMENTA,PUENTE,BARBARA,2000-05-07,MUJER,credito refaccionario,70998,9180575779,Nayarit,Axochiapan,Villas de San Nicolás,Trento,6
BARRAGAN,VENEGAS,ARMANDO,1995-08-12,HOMBRE,debito,4164,1244227683,Baja California Sur,Ayala,San Telmo,Nueva Andalucia Coto Residencial,46
APARICIO,CANSECO,NAHOMI,1992-05-06,MUJER,credito departamental,7623,1104316798,Coahuila,Coatlán del Río,La Paloma,Lomas del Cobano,69
VIDAL,ALCANTARA,LUIS,1977-07-08,HOMBRE,credito hipotecario,412056,6006423331,Baja California Sur,Cuautla,Barrio de Santiago,Buenavista,42
GALVEZ,GIL,LIA VICTORIA,1988-02-04,MUJER,debito,5862,2957223163,Oaxaca,Cuernavaca,Villa de las Trojes,C.T.M.,60
ROMO,VILLALBA,JOSHUA,1970-03-29,HOMBRE,credito departamental,5353,7207593682,Tabasco,Emiliano Zapata,Valle de Santa Teresa,La Higuerilla,31
CARBAJAL,GALEANA,MARGARITA,1965-09-04,MUJER,credito,18704,1693411243,Hidalgo,Huitzilac,La Troje,Parras,SN
ESCALANTE,OLMOS,FABIAN,1969-12-10,HOMBRE,prestamo personal,1986,3010316114,Zacatecas,Jantetelco,Trojes de Alonso,El Cobano,85
ESCAMILLA,LLAMAS,ANA PAOLA,1966-07-03,MUJER,credito,18698,9020938466,Michoacán,Jiutepec,San Telmo Residencial,Hacienda el Cobano,17
RENTERIA,CANCINO,IAN GAEL,1989-04-19,HOMBRE,credito refaccionario,80042,7179825978,Puebla,Jojutla,Santa Fe,Trojes del Cobano,SN
MONTALVO,DE SANTIAGO,JADE,1974-06-19,MUJER,credito hipotecario,749894,6144623294,Tlaxcala,Jonacatepec de Leandro Valle,Aguascalientes 2000,Villas del Cobano,70
ARENAS,GARAY,CRISTOPHER,1967-10-07,HOMBRE,debito,8960,2431469237,Yucatán,Mazatepec,Las Trojes,Alianza Ferrocarrilera,20
MERINO,LOBATO,MONSERRATH,1987-03-05,MUJER,credito hipotecario,483528,2506060530,Veracruz,Miacatlán,Misión del Campanario,Bosques del Prado Oriente,51
ROQUE,LEZAMA,JESUS ADRIAN,1996-12-09,HOMBRE,credito refaccionario,88586,1860565370,Jalisco,Ocuituco,Trojes de Cristal,Francisco Guel Jimenez,SN
JARAMILLO,LIRA,ARIADNA,1973-06-12,MUJER,credito refaccionario,93621,5056274790,Tlaxcala,Puente de Ixtla,Trojes del Sol,Las Viñas INFONAVIT,SN
OCAMPO,VICTORIANO,JESUS EDUARDO,1988-12-07,HOMBRE,credito nomina,2276,7280111432,Durango,Temixco,Residencial Santa Clara,Santa Anita 4a Sección,SN
CORREA,CANDIA,JUANA,2003-01-27,MUJER,credito,15989,4986223359,Morelos,Tepalcingo,Misión de Santiago,Santa Anita,14
GASPAR,MEDEL,EDGAR,1987-11-06,HOMBRE,credito refaccionario,91525,9341734891,Tlaxcala,Tepoztlán,Andora Residencial,Santa Anita 2a Sección,40
HURTADO,CAMACHO,MIA SOFIA,1991-12-27,MUJER,credito refaccionario,53831,4752741658,Colima,Tetecala,Cadaqués Residencial,El Maguey,61
TOLENTINO,BALLESTEROS,ISAIAS,1961-09-13,HOMBRE,credito refaccionario,72992,8985019142,Quintana Roo,Tetela del Volcán,Valle del Campanario,Las Cumbres,SN
BAEZ,CLEMENTE,CONSTANZA,1986-07-23,MUJER,credito avio,221773,7577536891,Yucatán,Tlalnepantla,Las Misiones,Lic Benito Juárez,SN
MIGUEL,JIMENEZ,DILAN,2003-06-29,HOMBRE,credito hipotecario,204140,5028601397,Quintana Roo,Tlaltizapán de Zapata,Los Jarales,Nazario Ortiz Garza,43
LAZARO,TINOCO,ALEXA SOFIA,1989-11-27,MUJER,credito nomina,4659,2916819243,Morelos,Tlaquiltenango,Cerrada El Molino,Rodolfo Landeros Gallegos,78
ARREOLA,PIMENTEL,JOSE JULIAN,1979-07-19,HOMBRE,credito refaccionario,88003,9722493249,Michoacán,Tlayacapan,Valle Real,S.T.E.M.A.,98
VENEGAS,CALVA,ANGELICA,1959-12-18,MUJER,credito hipotecario,221883,3667648588,San Luis Potosí,Totolapan,Terzetto,Zona Militar,47
MARTIN,HURTADO,ULISES,1960-09-19,HOMBRE,prestamo personal,4533,9332711281,Campeche,Xochitepec,Cerrada de La Misión,Villa Bonita,40
VALADEZ,DAVILA,MARIA PAULA,1961-08-22,MUJER,credito hipotecario,599301,6062125445,Tamaulipas,Yautepec,Cerrada del Valle,Lic Benito Palomino Dena,50
QUEZADA,CHACON,CHRISTOPHER,1969-12-02,HOMBRE,credito nomina,2156,9232701644,Nuevo León,Yecapixtla,Cerrada de la Mezquitera,Anexo Benito Palomino Dena Cumbres II),67
ARANDA,GRANADOS,LIA SOFIA,1986-06-03,MUJER,credito avio,260234,0612987001,Nuevo León,Zacatepec,Lomas del Campestre 2a Sección,La Florida l,27
SANTILLAN,REZA,ADRIEL,1980-04-25,HOMBRE,credito nomina,3506,1909682046,Quintana Roo,Zacualpan de Amilpas,Villas del Campestre,La Florida ll,46
ALCANTARA,LEDESMA,JULIA,1972-03-22,MUJER,credito departamental,8252,2152722322,Durango,Temoac,Los Calicantos,Claustros Loma Dorada,53
MORAN,VILLEDA,JOSE GUADALUPE,2002-07-24,HOMBRE,credito refaccionario,77770,8775814852,Jalisco,Coatetelco,Jardines de la Concepción,Cumbres III,21
ANAYA,COLUNGA,AITANA GUADALUPE,1988-09-08,MUJER,prestamo personal,5786,5838446531,Jalisco,Xoxocotla,Los Bosques,Lomas de Bellavista,86
ZARAGOZA,CERVANTES,LUIS ALBERTO,1998-10-01,HOMBRE,credito avio,128245,0342679729,Baja California Sur,Hueyapan,Rinconada los Bosques,Lomas de las Fuentes,22
NICOLAS,BUENDIA,DENISSE,1993-02-20,MUJER,credito departamental,4760,3462569562,Jalisco,Azcapotzalco,La Perla Norte,Colinas de Oriente,SN
VALLE,RIZO,EDWIN,1959-01-22,HOMBRE,prestamo personal,9287,1078785296,México,Coyoacán,Arroyo El Molino,Vista de las Cumbres,99
CANUL,ROSALES,REGINA GUADALUPE,1964-01-13,MUJER,credito departamental,9162,8711496050,Coahuila,Cuajimalpa de Morelos,Galerías,Villa Montaña,87
LIRA,MEZA,DYLAN GAEL,1966-10-17,HOMBRE,credito,15284,8615103667,Campeche,Gustavo A. Madero,Residencial Altaria,Villas de Don Antonio,SN
VARELA,HUERTA,VIOLETA,1986-08-31,MUJER,credito hipotecario,746152,7319740458,Colima,Iztacalco,Constitución,Los Ángeles,81
CORDERO,OLVERA,LUIS DANIEL,1992-09-30,HOMBRE,credito refaccionario,63654,3112074675,Quintana Roo,Iztapalapa,Libertad,Capittala,86
COLIN,AMARO,MARIA ALEJANDRA,1957-01-22,MUJER,credito refaccionario,68135,7251495194,Chihuahua,La Magdalena Contreras,Pozo Bravo Norte,Recinto de la Macarena,52
CARRASCO,GIRON,ANGEL DE JESUS,1976-04-15,HOMBRE,debito,2860,4963927491,Michoacán,Milpa Alta,Soberana Convención Revolucionaria,La Soledad,SN
ALARCON,GARRIDO,TANIA,1988-04-13,MUJER,debito,6792,6939504672,Quintana Roo,Álvaro Obregón,San Cayetano,Los Naranjos,SN
SORIANO,AYALA,CALEB,1971-05-01,HOMBRE,credito departamental,7325,7841288873,Guanajuato,Tláhuac,Colinas del Rio,Villa de Nuestra Señora de La Asunción Sector Guadalupe,SN
MATEO,CELESTINO,MILAGROS,1957-06-30,MUJER,credito,18470,5266028034,Jalisco,Tlalpan,Olivares Santana,Villa Teresa,4
AQUINO,LEZAMA,CHRISTIAN,1995-03-21,HOMBRE,credito refaccionario,77633,8795955425,Campeche,Xochimilco,Las Brisas,Cartagena 1947,32
CAZARES,DUARTE,SCARLETT,1958-07-12,MUJER,credito hipotecario,793168,5247544054,San Luis Potosí,Benito Juárez,Ramon Romo Franco,Villas de La Convención,49
ANGEL,ESCUDERO,GUILLERMO,2001-02-04,HOMBRE,prestamo personal,4736,0433704582,Ciudad de Mexico,Cuauhtémoc,Colinas de San Ignacio,Lomas de La Asunción,SN
ALTAMIRANO,AGUILAR,BRENDA,1968-10-27,MUJER,credito,17717,5098565285,Sonora,Miguel Hidalgo,La Fundición,Villa de Nuestra Señora de La Asunción Sector Encino,SN
CARDONA,POZOS,JUAN ANTONIO,1973-09-24,HOMBRE,credito avio,217683,3735651739,Baja California,Venustiano Carranza,Fundición II,Villa de Nuestra Señora de La Asunción Sector Alameda,86
RENDON,CASILLAS,ROSA,1967-03-30,MUJER,credito nomina,2736,6671128822,Chiapas,Amealco de Bonfil,Los Sauces,San José de Pozo Bravo,21
LUCAS,POLANCO,IAN SANTIAGO,1991-06-10,HOMBRE,credito avio,261611,1122036752,Veracruz,Pinal de Amoles,Línea de Fuego,Villa de Nuestra Señora de La Asunción Sector San Marcos,18
VALDES,CARDONA,DANNA,1995-04-08,MUJER,debito,11260,8771571044,Chiapas,Arroyo Seco,Buenos Aires,Villa de Nuestra Señora de La Asunción Sector Estación,16
ARCE,MARCELINO,LUIS ENRIQUE,1964-11-14,HOMBRE,credito refaccionario,95167,8019566407,Morelos,Cadereyta de Montes,Circunvalación Norte,Las Plazas,45
AVILES,GERVACIO,GISELLE,1967-12-26,MUJER,credito avio,114316,8505227853,Durango,Colón,Las Arboledas,El Rosedal,3
LIMON,AKE,JOEL,2002-07-01,HOMBRE,prestamo personal,5194,8525908870,Durango,Corregidora,Villas de San Francisco,Natura,22
HIDALGO,OBREGON,EVELIN,1993-12-21,MUJER,credito avio,71523,3630551106,Guanajuato,Ezequiel Montes,Villas de La Universidad,Montebello Della Stanza,6
QUINTANA,MANRIQUEZ,JORGE LUIS,1999-08-02,HOMBRE,credito nomina,4720,1757833326,Campeche,Huimilpan,El Sol,Villa Notre Dame,37
TOLEDO,BERNABE,NATALY,1995-01-13,MUJER,credito avio,106833,9383922838,Nayarit,Jalpan de Serra,Gremial,Privada Guadalupe,52
LUIS,ROMANO,JOSE DE JESUS,1987-07-07,HOMBRE,credito avio,264036,3910441112,Querétaro,Landa de Matamoros,Industrial,Rinconada Pozo Bravo,1
PORTILLO,RENTERIA,CECILIA,1966-12-08,MUJER,credito,21750,6927618445,Guanajuato,El Marqués,Altavista,Pozo Bravo Sur,73
MUÑIZ,CARREÑO,YAHIR,1989-11-19,HOMBRE,credito hipotecario,916613,5606538574,Puebla,Pedro Escobedo,Curtidores,Villa Loma Dorada,80
MENA,AGUILLON,MIA VICTORIA,1986-07-28,MUJER,prestamo personal,8516,6691533484,Campeche,Peñamiller,La Concordia,Jardines de Montebello,SN
MAYA,CORTEZ,ABDIEL,1960-12-31,HOMBRE,credito departamental,9910,4719645947,Quintana Roo,Querétaro,Miravalle,Villas del Río,8
SEGUNDO,CHAVEZ,HELENA,1989-07-16,MUJER,debito,9457,9213663792,México,San Joaquín,Panorama,El Puertecito,35
ANGUIANO,BADILLO,JESUS ALEXANDER,1986-07-04,HOMBRE,credito departamental,7780,7548558183,Coahuila,San Juan del Río,Residencial Guadalupe,Rinconada del Puertecito,SN
DE LA TORRE,OTERO,LUISA FERNANDA,1982-09-27,MUJER,credito,17507,5949843139,Colima,Tequisquiapan,Colinas del Poniente,Bosques del Prado Norte,66
MADRIGAL,DELGADO,DYLAN MATEO,1983-11-09,HOMBRE,credito nomina,4908,1299326016,Guerrero,Tolimán,Bugambilias,Sartenejo,77
MATIAS,TEMOXTLE,KARLA SOFIA,1973-10-05,MUJER,credito hipotecario,208904,5253983392,Ciudad de Mexico,Acambay de Ruíz Castañeda,Del Carmen,Lomas del Campestre 1a Sección,70
ORDOÑEZ,CUELLAR,IKER GAEL,1970-04-30,HOMBRE,credito hipotecario,796717,8861995129,San Luis Potosí,Acolman,La Fe,Bosques del Prado Sur,SN
ONTIVEROS,ALCANTAR,MARIA DE JESUS,1977-01-19,MUJER,credito hipotecario,421480,6515698450,Jalisco,Aculco,México,El Roble,SN
BRIONES,CORNELIO,VALENTIN,1959-07-24,HOMBRE,credito refaccionario,75379,0206512262,Chiapas,Almoloya de Alquisiras,Primavera,Fátima,SN
MONTEJO,NOH,ISABELA,1998-12-01,MUJER,credito,17286,4600164218,Morelos,Almoloya de Juárez,San Pablo,Independencia de México,81
CUELLAR,BRAVO,JESUS MANUEL,2000-04-12,HOMBRE,credito hipotecario,360792,5634396020,Colima,Almoloya del Río,Guadalupe,Nueva Rinconada,26
BELLO,AVENDAÑO,MARIA ELENA,1978-01-09,MUJER,credito,15104,9647434230,Nayarit,Amanalco,Heliodoro Garcia,Primo Verdad,36
CASILLAS,ORDOÑEZ,JESUS EMMANUEL,1964-11-23,HOMBRE,credito nomina,2295,0343280842,Veracruz,Amatepec,Gómez,San José del Arenal,SN
